Rank,Company,Country,Sales,Profits,Assets,Market.Value
50,Siemens,Germany,98.4,8.2,135.6,92
52,Deutsche Bank,Germany,65.7,5.4,2809.4,47.3
53,Barclays,United Kingdom,66.3,4.7,2425.2,49.1
54,Banco do Brasil,Brazil,72.4,6.5,516.3,45.9
55,MetLife,United States,70.3,7,799.6,40.7
56,Vale,Brazil,55.4,20.3,127.6,126.8
57,Telefonica,Spain,81.4,7,159.9,75.6
57,Johnson & Johnson,United States,65,9.7,113.6,178.8
59,Westpac Banking Group,Australia,44.1,7.2,651.7,67.5
59,Honda Motor,Japan,107.5,6.4,137.7,70.8
61,BMW Group,Germany,95.8,6.8,160,61.2
62,Novartis,Switzerland,58.6,9.1,117.5,150.4
63,General Motors,United States,150.3,9.2,144.6,40
64,Sumitomo Mitsui Financial,Japan,45.9,5.7,1654.9,47.8
65,China Life Insurance,China,56,5.1,214.1,76.5
66,Verizon Communications,United States,110.9,2.4,230.5,112.2
67,Hewlett-Packard,United States,125,5.9,126.6,48.4
68,Lukoil,Russia,111.4,10.4,90.6,55.3
69,Rio Tinto,United Kingdom,60.5,5.8,119.5,110.2
70,Royal Bank of Canada,Canada,35.9,4.7,812.7,84.4
71,Rosneft,Russia,59.2,11.3,106,79.6
71,UBS,Switzerland,43.7,4.5,1508.7,54.2
73,EDF,France,84.6,3.9,297.5,45.7
74,BASF,Germany,95.2,8,78.7,82.2
75,ENEL,Italy,103.2,5.4,220.4,35.4
76,National Australia Bank,Australia,38.2,5,730.4,56.3
77,Goldman Sachs Group,United States,36.8,4.4,923.2,63.5
78,Sanofi,France,43.2,7.4,125.3,103.3
79,ANZ,Australia,34.7,5.2,577.2,62.6
80,Merck & Co,United States,48,6.3,105.1,115.8
81,Comcast,United States,55.8,4.2,157.8,79.8
82,TD Bank,Canada,27.7,5.8,771.5,76.1
83,Bank of America,United States,115.1,1.4,2129,105.2
83,BBVA-Banco Bilbao Vizcaya,Spain,46.7,3.9,767.7,43.1
85,Nissan Motor,Japan,105.5,3.8,128.7,48.1
85,Intel,United States,54,12.9,71.1,138.5
87,Coca-Cola,United States,46.5,8.6,80,158.8
88,PepsiCo,United States,66.5,6.4,72.9,101.3
88,Saudi Basic Industries,Saudi Arabia,50.6,7.8,88.6,84.4
90,Sberbank,Russia,31.8,6,282.4,74
91,Cisco Systems,United States,44.8,7,89.3,107.9
92,Bank of Nova Scotia,Canada,27.3,5.3,635.2,62.2
93,Anheuser-Busch InBev,Belgium,39,5.9,112.4,115.3
94,Societe Generale,France,98.6,3.3,1531.1,25.8
95,Mitsubishi Corp,Japan,62.6,5.6,136.6,39.7
96,Hyundai Motor,South Korea,70.3,6.9,94.5,43.6
97,Zurich Financial Services,Switzerland,53,3.5,365.6,39
98,Mizuho Financial,Japan,32.2,5,1934.4,40.6
99,Glencore International,Switzerland,179.6,3.9,85.2,45.9
100,Morgan Stanley,United States,39.3,4.1,749.9,38.6
