V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
Namibia,88,4770,79,74,2047,1.3,36,20,5,38,3.3
Niger,199,630,37,50,13737,3.5,17,16,5,48,7.3
Nigeria,126,1410,59,68,144720,2.4,49,18,5,44,5.5
Rwanda,44,730,81,76,9464,2.5,20,18,4,43,6
Sao Tome and Principe,91,1490,98,97,155,1.6,59,19,6,41,4
Senegal,100,1560,70,71,12072,2.5,42,19,6,42,4.9
Sierra Leone,178,610,36,50,5743,2.8,41,18,5,43,6.5
South Africa,65,8900,88,88,48282,0.7,60,24,7,32,2.7
Swaziland,73,4700,79,78,1134,0.8,24,19,5,39,3.6
Togo,89,770,75,86,6410,2.7,41,18,5,43,5
United Republic of Tanzania,139,980,97,98,39459,2.5,25,18,5,44,5.3
Zambia,161,1140,94,90,11696,1.9,35,17,5,46,5.3
Argentina,62,11670,98,99,39134,1,90,29,14,26,2.3
Barbados,51,15150,96,97,293,0.3,53,36,13,18,1.5
Belize,90,7080,97,97,282,2.2,48,21,6,37,3
Bolivia,97,3810,95,94,9354,1.9,65,21,7,38,3.6
Brazil,71,8700,95,93,189323,1.3,85,27,9,28,2.3
Canada,14,36280,100,99,32577,0.9,80,39,18,17,1.5
Chile,49,11300,89,90,16465,1,88,31,12,24,1.9
Colombia,92,6130,88,89,45558,1.4,73,26,8,30,2.3
Costa Rica,77,9220,88,87,4399,1.6,62,26,8,28,2.1
Dominican Republic,118,5550,78,76,9615,1.5,68,24,8,33,2.9
Ecuador,100,6810,97,96,13202,1.1,63,24,9,32,2.6
El Salvador,104,5610,94,94,6762,1.4,60,24,8,34,2.7
Grenada,53,8770,83,84,106,0.3,31,23,10,33,2.3
Guatemala,120,5120,92,96,13029,2.5,48,18,6,43,4.3
Guyana,90,3410,89,89,739,-0.1,28,27,9,31,2.4
Haiti,69,1070,22,21,9446,1.6,39,21,6,38,3.7
Honduras,108,3420,97,96,6969,2,47,20,6,39,3.4
Jamaica,65,7050,90,90,2699,0.6,53,25,10,31,2.5
Mexico,94,11990,97,98,105342,1,76,26,9,30,2.3
Nicaragua,119,2720,90,90,5532,1.3,59,21,6,37,2.8
Panama,84,8690,98,99,3288,1.7,72,26,9,30,2.6
Paraguay,65,4040,95,94,6016,1.9,59,22,7,35,3.2
Peru,59,6490,97,96,27589,1.1,73,25,8,31,2.5
Saint Lucia,51,8500,97,99,163,1.1,28,26,10,27,2.2
Saint Vincent and the Grenadines,71,6220,88,92,120,0.5,46,25,9,29,2.2
Suriname,62,7720,98,95,455,0.6,74,26,9,29,2.5
Trinidad and Tobago,35,16800,85,85,1328,0.4,13,29,10,22,1.6
United States of America,43,44070,93,91,302841,1,81,36,17,21,2.1
Uruguay,64,9940,100,100,3331,0.2,92,33,18,24,2.1
Venezuela,81,10970,91,91,27191,1.7,94,25,8,31,2.6
Bahrain,14,34310,98,98,739,1.9,97,29,5,26,2.4
Djibouti,27,2180,34,42,819,1.8,87,20,5,38,4.1
Egypt,48,4940,94,98,74166,1.8,43,23,7,33,3
Iran (Islamic Republic of),35,9800,100,91,70270,1.2,67,24,6,28,2
Jordan,30,4820,90,89,5729,3.3,83,21,5,37,3.2
Kuwait,15,48310,83,84,2779,2.9,98,29,3,24,2.2
Lebanon,18,9600,82,82,4055,1.1,87,27,10,28,2.2
Libyan Arab Jamahiriya,7,11630,91,95,6039,2,85,25,6,30,2.8
Morocco,35,3860,85,91,30853,1.2,59,25,8,30,2.4
Oman,11,19740,75,73,2546,1.6,71,23,4,33,3.1
Pakistan,24,2410,57,73,160943,1.8,35,21,6,36,3.6
Saudi Arabia,15,22300,87,87,24175,2.4,81,24,4,34,3.5
Sudan,51,1780,37,45,37707,2.2,42,20,6,40,4.4
Syrian Arab Republic,58,4110,92,97,19408,2.7,51,21,5,36,3.2
Tunisia,8,6490,97,96,10215,1.1,66,27,9,25,1.9
United Arab Emirates,37,31190,88,88,4248,3.5,77,30,2,20,2.3
Yemen,83,2090,65,85,21732,3,28,17,4,45,5.6
Albania,27,6000,93,94,3172,0.6,46,29,13,26,2.1
Armenia,30,4950,84,80,3010,-0.3,64,32,14,20,1.3
Austria,14,36040,98,97,8327,0.4,66,40,22,16,1.4
Azerbaijan,31,5430,83,86,8406,0.6,52,28,9,24,1.7
Belarus,22,9700,88,90,9742,-0.5,73,38,18,15,1.2
Belgium,5,33860,97,97,10430,0.3,97,41,22,17,1.6
Bulgaria,40,10270,92,93,7693,-0.7,70,41,23,14,1.3
Croatia,14,13850,90,91,4556,0.1,57,41,22,15,1.3
Cyprus,5,25060,99,99,846,1.1,69,35,17,19,1.6
Czech Republic,11,20920,94,91,10189,0,73,39,20,14,1.2
Denmark,6,36190,96,95,5430,0.2,86,40,22,19,1.8
Estonia,21,18090,94,95,1340,-0.3,69,39,22,15,1.5
Finland,11,33170,97,97,5261,0.3,61,41,22,17,1.8
France,8,32240,99,98,61330,0.6,77,39,21,18,1.9
Georgia,47,3880,91,88,4433,-0.9,52,36,18,18,1.4
Germany,11,32680,98,98,82641,0,75,42,25,14,1.4
Greece,11,30870,99,100,11123,0.2,59,40,23,14,1.3
Hungary,21,16970,88,89,10058,-0.3,67,39,21,15,1.3
Iceland,16,33740,97,98,298,0.9,93,35,16,22,2
Ireland,19,34730,95,94,4221,1.9,61,34,15,21,2
Israel,15,23840,97,96,6810,1.7,92,29,13,28,2.8
Italy,7,28970,98,99,58779,0.2,68,42,26,14,1.4
Kazakhstan,26,8700,90,90,15314,0.7,58,29,10,24,2.2
Kyrgyzstan,27,1790,85,86,5259,1.1,36,24,7,30,2.5
Latvia,16,14840,92,89,2289,-0.6,68,40,22,14,1.3
Lithuania,19,14550,89,90,3408,-0.5,66,38,21,16,1.3
Luxembourg,11,60870,98,96,461,1,83,38,19,18,1.7
Malta,17,20990,91,92,405,0.5,96,38,19,17,1.4
Netherlands,7,37940,97,99,16379,0.3,81,39,20,18,1.7
Norway,8,50070,98,98,4669,0.6,77,38,20,19,1.8
Poland,14,14250,96,96,38140,-0.1,62,37,17,16,1.2
Portugal,19,19960,98,98,10579,0.5,58,39,22,16,1.5
Republic of Moldova,29,2660,88,88,3833,-1.1,47,33,15,19,1.4
Romania,33,10150,93,93,21532,-0.4,54,37,19,15,1.3
Russian Federation,28,12740,91,91,143221,-0.5,73,37,17,15,1.3
Slovakia,21,17060,92,92,5388,0,56,36,16,16,1.2
Slovenia,6,23970,95,96,2001,0.1,51,41,21,14,1.3
Spain,10,28200,99,100,43887,1.1,77,39,22,14,1.4
Sweden,7,34310,95,95,9078,0.4,84,40,24,17,1.8
Switzerland,5,40840,89,89,7455,0.4,76,40,21,16,1.4
Tajikistan,57,1560,95,99,6640,1.4,25,20,5,39,3.5
The former Yugoslav Republic of Macedonia,23,7850,92,92,2036,0.1,70,35,16,19,1.5
Turkey,51,8410,89,93,73922,1.3,68,27,8,28,2.2
Ukraine,29,6110,90,90,46557,-0.8,68,39,21,14,1.2
United Kingdom,27,33650,99,98,60512,0.4,90,39,22,18,1.8
Uzbekistan,40,2190,78,79,26981,1.4,37,23,6,32,2.6
Bangladesh,135,1230,90,87,155991,1.8,25,22,6,35,2.9
Bhutan,62,4000,79,79,649,1.8,11,23,7,32,2.3
India,97,2460,87,90,1151751,1.5,29,24,8,33,2.9
Indonesia,54,3310,94,97,228864,1.2,49,27,8,28,2.2
Maldives,8,4740,97,97,300,1.7,30,22,6,33,2.6
Myanmar,29,510,100,99,48379,0.9,31,27,8,27,2.1
Nepal,106,1010,74,84,27641,2,16,20,6,38,3.4
Sri Lanka,29,3730,100,99,19207,0.5,15,30,10,24,1.9
Thailand,70,7440,94,94,63444,0.7,33,33,12,21,1.8
Timor-Leste,49,5100,67,70,1114,4.3,27,17,5,45,6.7
Australia,16,33940,97,96,20530,1.1,88,37,18,19,1.8
Brunei Darussalam,31,49900,94,94,382,2.1,74,26,5,29,2.4
Cambodia,52,1550,89,91,14197,1.7,20,20,5,37,3.3
China,3,4660,96,100,1328474,0.6,42,33,11,21,1.7
Fiji,35,4450,91,91,833,0.6,51,24,7,33,2.8
Japan,6,32840,100,100,127953,0,66,43,27,14,1.3
Lao People's Democratic Republic,110,1740,81,86,5759,1.7,21,20,5,39,3.3
Malaysia,12,12160,100,100,26114,1.8,68,25,7,31,2.7
Mongolia,28,2810,93,90,2605,0.9,57,25,6,28,1.9
New Zealand,27,25750,99,99,4140,1,86,36,17,21,2
Philippines,55,3430,92,90,86264,2,63,22,6,36,3.3
Republic of Korea,2,22990,93,100,48050,0.4,81,36,14,18,1.2
Samoa,45,5090,91,90,185,0.8,23,20,7,40,4.1
Singapore,7,43300,77,77,4382,1.3,100,38,13,19,1.3
Solomon Islands,72,1850,61,62,484,2.4,17,20,5,40,4
Tonga,17,5470,94,97,100,0.5,24,21,9,37,3.8
Vanuatu,92,3480,86,88,221,2.5,24,20,5,39,3.9
Viet Nam,25,2310,91,96,86206,1.4,27,25,8,29,2.2
