Rank,Name,Net Worth,Age,Source,Country of Citizenship
61,Mohammed Al Amoudi,12.5,67,"oil, diversified",Saudi Arabia
61,Anne Cox Chambers,12.5,92,media,United States
61,John Paulson,12.5,56,"hedge funds",United States
64,Robert Kuok,12.4,88,diversified,Malaysia
64,Luis Carlos Sarmiento,12.4,79,banking,Colombia
64,Viktor Vekselberg,12.4,54,"oil, metals",Russia
67,Antonio Ermirio de Moraes & family,12.2,83,diversified,Brazil
68,Roman Abramovich,12.1,45,"steel, investments",Russia
69,Donald Bren,12,79,real estate,United States
69,Jorge Paulo Lemann,12,72,beer,Brazil
69,Ronald Perelman,12,69,leveraged buyouts,United States
72,Len Blavatnik,11.9,54,diversified,United States
72,Leonid Mikhelson,11.9,56,"gas, chemicals",Russia
74,Leonardo Del Vecchio,11.5,76,eyewear,Italy
75,John Fredriksen,11.3,67,shipping,Cyprus
76,Aliko Dangote,11.2,54,"sugar, flour, cement",Nigeria
76,Stefan Quandt,11.2,45,BMW,Germany
78,"Gerald Cavendish Grosvenor & family",11,60,real estate,United Kingdom
78,Harold Hamm,11,66,"oil & gas",United States
80,Savitri Jindal & family,10.9,62,steel,India
81,Andrey Melnichenko,10.8,40,"coal, fertilizers",Russia
82,James Simons,10.7,73,hedge funds,United States
83,Ernesto Bertarelli & family,10.6,46,"biotech, investments",Switzerland
84,Jack Taylor & family,10.4,89,Enterprise Rent-A-Car,United States
85,Abigail Johnson,10.3,50,Fidelity,United States
86,Robin Li,10.2,43,Technology,China
86,"Eliodoro, Bernardo & Patricia Matte",10.2,0,paper,Chile
88,Ray Dalio,10,62,hedge funds,United States
88,George Kaiser,10,69,"oil & gas, banking",United States
88,Johanna Quandt,10,85,BMW,Germany
88,Hans Rausing,10,86,packaging,Sweden
88,Tadashi Yanai & family,10,63,retail,Japan
93,Serge Dassault & family,9.9,86,aviation,France
93,Ananda Krishnan,9.9,73,telecoms,Malaysia
95,Klaus-Michael Kuhne,9.8,74,shipping,Germany
96,Pallonji Mistry,9.7,82,construction,Ireland
97,Alejandro Santo Domingo Davila,9.5,35,beer,Colombia
98,Horst Paulmann & family,9.3,77,retail,Chile
99,Gennady Timchenko,9.1,59,"oil & gas",Russia
100,Laurene Powell Jobs & family,9,48,"Apple, Disney",United States
100,David & Simon Reuben,9,69,"investments, real estate",United Kingdom
100,Dmitry Rybolovlev,9,45,fertilizer,Russia
100,Harold Simmons,9,80,investments,United States
104,Oleg Deripaska,8.8,44,"aluminum, utilities",Russia
105,German Khan,8.5,50,"oil, banking, telecom",Russia
106,Steve Cohen,8.3,56,hedge funds,United States
106,Charles Ergen,8.3,59,EchoStar,United States
106,Lee Kun-Hee,8.3,70,Samsung,South Korea
106,Rupert Murdoch,8.3,81,News Corp,United States
110,Petr Kellner,8.2,47,"banking, insurance",Czech Republic
110,Richard Kinder,8.2,67,pipelines,United States
110,Iskander Makhmudov,8.2,48,"mining, metals, machinery",Russia
113,Liang Wengen,8.1,55,manufacturing,China
113,Sunil Mittal & family,8.1,54,telecom,India
113,Hansjorg Wyss,8.1,77,medical devices,Switzerland
116,Kumar Birla,8,44,commodities,India
116,Henry Sy & family,8,87,diversified,Philippines
118,Anil Ambani,7.8,52,diversified,India
118,August von Finck,7.8,82,investments,Germany
120,Charlene de Carvalho-Heineken,7.7,57,Heineken,Netherlands
121,Galen Weston & family,7.6,71,retail,Canada
122,Ralph Lauren,7.5,72,Ralph Lauren,United States
122,Alain & Gerard Wertheimer,7.5,-,Chanel,France
124,Dilip Shanghvi,7.4,56,pharmaceuticals,India
125,Ivan Glasenberg,7.3,55,Commodities,Australia
125,James Goodnight,7.3,69,SAS Institute,United States
127,Giorgio Armani,7.2,77,fashion,Italy
127,Hasso Plattner,7.2,68,SAP,Germany
127,Masayoshi Son,7.2,54,Softbank,Japan
127,Patrick Soon-Shiong,7.2,60,pharmaceuticals,United States
131,Leonard Lauder,7.1,79,Estee Lauder,United States
131,"Samuel Newhouse, Jr.",7.1,84,Conde Nast,United States
133,Mohamed Bin Issa Al Jaber,7,53,"real estate, hotels",Saudi Arabia
133,Philip Anschutz,7,72,investments,United States
133,Andrew Beal,7,59,"banks, real estate",United States
133,Dhanin Chearavanont & family,7,72,Food,Thailand
133,Shashi & Ravi Ruia,7,68,diversified,India
138,Eric Schmidt,6.9,56,Google,United States
139,Nicky Oppenheimer & family,6.8,66,diamonds,South Africa
139,Miuccia Prada,6.8,62,Prada,Italy
141,Mikhail Gutseriev,6.7,54,"oil, real estate",Russia
141,Alexei Kuzmichev,6.7,49,"oil, banking, telecom",Russia
141,Pierre Omidyar,6.7,44,Ebay,United States
144,Curt Engelhorn,6.6,85,pharmaceuticals,Germany
144,Michael Kadoorie & family,6.6,71,diversified,Hong Kong
146,Leonid Fedun,6.5,55,Lukoil,Russia
146,R. Budi Hartono,6.5,71,"Banking, tobacco",Indonesia
146,Antonia Johnson,6.5,68,diversified,Sweden
146,Suleiman Kerimov,6.5,46,investments,Russia
146,Joseph Lau,6.5,60,real estate,Hong Kong
146,Tsai Wan-tsai & family,6.5,82,finance,Taiwan
146,Zong Qinghou,6.5,66,beverages,China
153,Charles Butt,6.4,74,supermarkets,United States
153,Bidzina Ivanishvili,6.4,56,investments,Georgia
153,Donald Newhouse,6.4,82,Conde Nast,United States
153,Kushal Pal Singh,6.4,80,real estate,India
157,Eli Broad,6.3,78,investments,United States
157,Michael Hartono,6.3,72,"tobacco, banking",Indonesia
157,Jim Kennedy,6.3,64,media,United States
157,Blair Parry-Okeden,6.3,61,media,United States
161,Chung Mong-Koo,6.2,74,Hyundai,South Korea
161,He Xiangjian,6.2,69,appliances,China
161,Hiroshi Mikitani,6.2,47,online retailing,Japan
161,Idan Ofer,6.2,56,inherited,Israel
161,Tsai Eng-Meng,6.2,55,food,Taiwan
166,Kjeld Kirk Kristiansen,6,64,Lego,Denmark
166,Paolo & Gianfelice Mario Rocca,6,-,pipes,Italy
166,Vladimir Yevtushenkov,6,63,telecom,Russia
169,Sulaiman Al Rajhi & family,5.9,92,banking,Saudi Arabia
169,Silvio Berlusconi & family,5.9,75,media,Italy
169,Kunio Busujima & family,5.9,86,gaming,Japan
169,Beny Steinmetz,5.9,55,"mining, diamonds, real estate",Israel
173,Andrew Forrest,5.8,50,Mining,Australia
173,Hui Ka Yan,5.8,53,real estate,China
173,"Edward Johnson, III.",5.8,81,Fidelity,United States
173,Liu Yongxing,5.8,63,agribusiness,China
173,Eyal Ofer,5.8,61,inherited,Israel
178,Graeme Hart,5.7,56,investments,New Zealand
178,Lui Che Woo,5.7,82,gaming,Hong Kong
178,Sergei Popov,5.7,40,"banking, coal",Russia
178,Marcel Herrmann Telles,5.7,62,beer,Brazil
178,Wu Yajun & family,5.7,48,real estate,China
183,Viktor Rashnikov,5.6,63,steel,Russia
184,David Geffen,5.5,69,"movies, music",United States
184,Terry Gou,5.5,61,electronics,Taiwan
184,Dietmar Hopp,5.5,71,SAP,Germany
184,Stephen Schwarzman,5.5,65,investments,United States
184,Charoen Sirivadhanabhakdi,5.5,67,Drinks,Thailand
189,Alexander Abramov,5.4,53,"steel, mining",Russia
189,Gautam Adani,5.4,49,"commodities, infrastructure",India
189,Thomas Peterffy,5.4,67,discount brokerage,United States
189,Ira Rennert,5.4,77,investments,United States
193,Johann Graf,5.3,65,gaming machines,Austria
193,Jeffrey Hildebrand,5.3,53,Oil,United States
193,Dietrich Mateschitz,5.3,67,Red Bull,Austria
196,Lee Shin Cheng,5.2,73,palm oil,Malaysia
196,Carlos Alberto Sicupira,5.2,64,beer,Brazil
196,Reinhold Wurth,5.2,76,fasteners,Germany
199,Carlos and Alejandro Bulgheroni,5.1,-,Energy,Argentina
199,John Malone,5.1,71,cable television,United States
199,Ludwig Merckle,5.1,47,pharmaceuticals,Germany
199,Johann Rupert & family,5.1,61,luxury goods,South Africa
199,Nassef Sawiris,5.1,51,construction,Egypt
199,David Tepper,5.1,54,hedge funds,United States
205,Richard DeVos,5,86,Amway,United States
205,Ray Lee Hunt,5,69,"oil, real estate",United States
205,James & Arthur Irving,5,-,Diversified,Canada
205,Karl-Heinz Kipp,5,88,retail,Germany
205,Richard LeFrak & family,5,66,real estate,United States
205,Shiv Nadar,5,66,information technology,India
205,"Denis O'Brien",5,53,telecom,Ireland
205,Teh Hong Piow,5,82,banking,Malaysia
205,Olav Thon,5,88,real estate,Norway
205,Dennis Washington,5,77,"construction, mining",United States
205,Yoovidhya Family,5,80,Drinks,Thailand
216,Jean-Claude Decaux & family,4.9,74,advertising,France
216,Sergei Galitsky,4.9,44,retail,Russia
216,Gordon Moore,4.9,83,Intel,United States
216,Sam Zell,4.9,70,"real estate, private equity",United States
221,Isak Andic & family,4.8,58,Mango,Spain
221,Robert Rowling,4.8,58,investments,United States
223,Micky Arison,4.7,62,Carnival Cruises,United States
223,Ma Huateng,4.7,40,internet,China
223,James Packer,4.7,44,Gaming,Australia
223,Juan Roig,4.7,62,supermarkets,Spain
223,Dieter Schnabel,4.7,66,chemicals,Germany
223,Karl Wlaschek,4.7,94,retail,Austria
223,Yang Huiyan,4.7,30,real estate,China
230,Charles Cadogan & family,4.6,75,real estate,United Kingdom
230,Richard Chandler,4.6,53,Investments,New Zealand
232,Michael Herz,4.5,68,coffee,Germany
232,Wolfgang Herz,4.5,61,coffee,Germany
232,Charles Johnson,4.5,79,financial services,United States
232,Bruce Kovner,4.5,67,hedge funds,United States
232,"John Menard, Jr.",4.5,72,Retail,United States
232,Rosalia Mera,4.5,68,Zara,Spain
232,Xavier Niel,4.5,44,"internet, telecom",France
232,Dorothea Steinbruch & family,4.5,-,steel,Brazil
232,Peter Woo & family,4.5,66,real estate,Hong Kong
232,Zhang Jindong,4.5,48,retail,China
242,Americo Amorim,4.4,77,"cork, investments",Portugal
242,Filaret Galchev,4.4,48,construction materials,Russia
242,"Rupert Johnson, Jr.",4.4,70,Franklin Resources,United States
242,Frank Lowy & family,4.4,81,Shopping Malls,Australia
242,Sumner Redstone,4.4,88,Viacom,United States
242,Heinz Hermann Thiele & family,4.4,70,brakes,Germany
248,Mike Adenuga,4.3,58,"telcom, banking, oil",Nigeria
248,Pyotr Aven,4.3,57,"oil, banking, telecom",Russia
248,Paul Desmarais,4.3,85,finance,Canada
248,Walter Haefner,4.3,101,software,Switzerland
248,Jim Pattison,4.3,83,diversified,Canada
248,Yoshikazu Tanaka,4.3,35,social networking,Japan
248,Leslie Wexner,4.3,74,retail,United States
255,Richard Branson,4.2,61,Virgin,United Kingdom
255,Gustavo Cisneros & family,4.2,66,media,Venezuela
255,James Dyson,4.2,64,vacuums,United Kingdom
255,Aloysio de Andrade Faria,4.2,91,banking,Brazil
255,Philip & Cristina Green,4.2,60,retail,United Kingdom
255,Bruce Halle,4.2,81,Discount Tire,United States
255,Victor Pinchuk,4.2,51,"steel pipes, diversified",Ukraine
255,Quek Leng Chan,4.2,68,diversified,Malaysia
255,Thomas Schmidheiny,4.2,66,cement,Switzerland
255,Andrei Skoch,4.2,46,steel,Russia
255,Leonard Stern,4.2,73,real estate,United States
255,Stef Wertheimer & family,4.2,86,tools,Israel
255,Daniel Ziff,4.2,40,investments,United States
255,Dirk Ziff,4.2,47,investments,United States
255,Robert Ziff,4.2,45,investments,United States
270,Dannine Avara,4.1,48,pipelines,United States
270,Heinz-Horst Deichmann,4.1,85,shoes,Germany
270,Scott Duncan,4.1,29,Pipelines,United States
270,Milane Frantz,4.1,42,Pipelines,United States
270,Uday Kotak,4.1,53,banking,India
270,Randa Williams,4.1,50,Pipelines,United States
276,Jeronimo Arango & family,4,86,retail,Mexico
276,Jin Sook & Do Won Chang,4,57,retail,United States
276,John Paul DeJoria,4,68,"hair products, tequila",United States
276,David Green,4,70,Hobby Lobby,United States
276,Erivan Haub & family,4,79,retail,Germany
276,William Koch,4,71,"oil, investments",United States
276,Henry Kravis,4,68,leveraged buyouts,United States
276,Tang Yiu & family,4,78,retail,Hong Kong
276,Harry Triguboff,4,79,Real Estate,Australia
276,Wang Jianlin,4,57,real estate,China
276,Roger Wang,4,63,retail,United States
276,Cher Wang & Wenchi Chen,4,54,HTC,Taiwan
288,Shari Arison,3.9,54,Carnival Cruises,Israel
288,Ann Walton Kroenke,3.9,63,Wal-Mart,United States
290,Francisco Ivens de Sa Dias Branco,3.8,77,food production,Brazil
290,William Fung,3.8,64,sourcing,Hong Kong
290,Micky Jagtiani,3.8,60,retail,India
290,Joe Lewis,3.8,75,investments,United Kingdom
290,Arnon Milchan,3.8,67,New Regency,Israel
290,Wee Cho Yaw,3.8,83,Banking,Singapore
296,Patrizio Bertelli,3.7,66,Prada luxury goods,Italy
296,Victor Fung & family,3.7,66,sourcing,United States
296,Barry Lam,3.7,62,computers,Taiwan
296,Alain Merieux & family,3.7,74,pharmaceuticals,France
296,Mitchell Rales,3.7,55,manufacturing,United States
296,John Sall,3.7,63,SAS Institute,United States
296,Emanuele (Lino) Saputo,3.7,75,dairy,Canada
296,Bernard (Barry) Sherman,3.7,70,pharmaceuticals,Canada
304,Robert Bass,3.6,64,"oil, investments",United States
304,Ana Lucia de Mattos Barretto Villela,3.6,38,banking,Brazil
304,Abilio dos Santos Diniz,3.6,75,retail,Brazil
304,Albert Frere,3.6,86,investments,Belgium
304,Lars Larsen,3.6,63,retail,Denmark
304,Jay Y. Lee,3.6,43,Samsung,South Korea
304,Low Tuck Kwong,3.6,63,Coal,Indonesia
304,Liselott Persson,3.6,62,H&M,Sweden
304,Trevor Rees-Jones,3.6,60,"Oil & Gas",United States
304,George Roberts,3.6,68,leveraged buyouts,United States
314,Anil Agarwal,3.5,58,"mining, metals",India
314,Andrei Guriev,3.5,52,fertilizers,Russia
314,Pansy Ho,3.5,49,gaming,Hong Kong
314,Vladimir Kim,3.5,51,mining,Kazakhstan
314,Kuok Khoon Hong,3.5,62,Palm Oil,Singapore
314,Patrick McGovern,3.5,74,media,United States
314,Elizabeth Mohn & family,3.5,71,media,Germany
314,Akira Mori & family,3.5,75,real estate,Japan
314,Dustin Moskovitz,3.5,27,Facebook,United States
314,"Henry Ross Perot, Sr.",3.5,81,"computer services, real estate",United States
314,Lynn Schusterman,3.5,73,"oil & gas, investments",United States
314,Charles Schwab,3.5,74,"discount brokerage",United States
314,Malvinder & Shivinder Singh,3.5,39,healthcare,India
314,Takemitsu Takizaki,3.5,66,sensors,Japan
314,Lucio Tan & family,3.5,77,diversified,Philippines
314,Zhang Shiping & family,3.5,65,metals,China
330,Vasily Anisimov,3.4,60,"metals, real estate",Russia
330,Pierre Bellon & family,3.4,82,food services,France
330,Leon Black,3.4,60,private equity,United States
330,Gayle Cook,3.4,78,medical devices,United States
330,Alfredo Egydio Arruda Villela Filho,3.4,42,banking,Brazil
330,"Paul Tudor Jones, II.",3.4,57,hedge funds,United States
330,Ronald Lauder,3.4,68,Estee Lauder,United States
330,Nancy Walton Laurie,3.4,60,Wal-Mart,United States
330,Liu Yonghao & family,3.4,60,agribusiness,China
330,Lorenzo Mendoza & family,3.4,46,beverages,Venezuela
330,Bruno Schroder & family,3.4,79,banking,United Kingdom
330,John A. Sobrato & family,3.4,72,real estate,United States
330,Chee Chen Tung & family,3.4,70,shipping,Hong Kong
330,Steven Udvar-Hazy,3.4,66,aircraft leasing,United States
344,Syed Mokhtar AlBukhary,3.3,60,diversified,Malaysia
344,Otto Beisheim,3.3,88,retail,Germany
344,Pauline MacMillan Keinath,3.3,78,Cargill Inc.,United States
344,Kirk Kerkorian,3.3,94,"casinos, investments",United States
344,Kim Jung-Ju & family,3.3,44,online gaming,South Korea
344,Ted Lerner,3.3,86,real estate,United States
344,Donna MacMillan,3.3,79,Cargill Inc.,United States
344,Whitney MacMillan,3.3,83,Cargill Inc.,United States
344,Gwendolyn Sontheim Meyer,3.3,50,Cargill Inc.,United States
344,Qiu Guanghe & family,3.3,60,retail,China
344,Steven Rales,3.3,60,manufacturing,United States
344,Andreas Strungmann,3.3,62,pharmaceuticals,Germany
344,Thomas Strungmann,3.3,62,pharmaceuticals,Germany
344,Zhou Chengjian,3.3,46,retail,China
358,David & Frederick Barclay,3.2,78,"media, retail",United Kingdom
358,Ron Burkle,3.2,59,"supermarkets, investments",United States
358,"Thomas Frist, Jr." & family,3.2,73,health care,United States
358,John Gandel,3.2,77,Shopping Malls,Australia
358,Heidi Horten,3.2,71,retail,Austria
358,Barbara Piasecka Johnson,3.2,75,Johnson & Johnson,United States
358,Stanley Kroenke,3.2,64,"sports, real estate",United States
358,George Lucas,3.2,67,Star Wars,United States
358,Wang Yung-tsai,3.2,91,plastics,Taiwan
367,Han Chang-Woo & family,3.1,81,gaming,Japan
367,Edward Lampert,3.1,49,investments,United States
367,Alexander Nesis,3.1,49,"metals, banking, fertilizers",Russia
367,Terrence Pegula,3.1,61,natural gas,United States
367,Karen Pritzker,3.1,54,"hotels, investments",United States
367,Stephen Ross,3.1,71,real estate,United States
367,Naguib Sawiris,3.1,57,telecom,Egypt
367,Keiichiro Takahara,3.1,81,personal care products,Japan
367,Christoffel Wiese,3.1,70,retailing,South Africa
367,Igor Zyuzin,3.1,51,steel,Russia
377,John Arnold,3,38,hedge funds,United States
377,"Martin & Olivier Bouygues",3,-,"construction, media",France
377,Andre Esteves,3,43,banking,Brazil
377,Ken Griffin,3,43,hedge funds,United States
377,Bertil Hult,3,71,Education,Sweden
377,James Jannard,3,62,sunglasses,United States
377,Ingvar Kamprad & family,3,85,Ikea,Sweden
377,Ihor Kolomoyskyy,3,49,"banking, investments",Ukraine
377,Lin Yu-lin,3,76,real estate,Taiwan
377,Ian & Richard Livingstone,3,-,real estate,United Kingdom
377,Lu Zhiqiang,3,59,diversified,China
377,Luo Jye & family,3,86,tires,Taiwan
377,Najib Mikati,3,56,telecom,Lebanon
377,Taha Mikati,3,67,telecom,Lebanon
377,David Nahmad & family,3,64,art,Monaco
377,Husnu Ozyegin,3,67,"finance, diversified",Turkey
377,Clayton Riddell,3,74,oil & gas,Canada
377,Melker Schorling,3,64,investments,Sweden
377,David Shaw,3,60,hedge funds,United States
377,Martua Sitorus,3,52,Palm Oil,Indonesia
377,Steven Spielberg,3,65,movies,United States
377,Friede Springer,3,69,publishing,Germany
377,Nikolai Tsvetkov,3,51,banking,Russia
377,Eddie & Sol Zakay,3,61,real estate,United Kingdom
401,Abdul Aziz Al Ghurair & family,2.9,57,banking,United Arab Emirates
401,David Azrieli & family,2.9,89,shopping malls,Canada
401,Vladimir Bogdanov,2.9,60,oil,Russia
401,Miloud Chaabi,2.9,83,Real estate,Morocco
401,Otto Happel,2.9,64,engineering,Germany
401,Eitaro Itoyama,2.9,69,golf courses,Japan
401,Mehmet Emin Karamehmet,2.9,67,"telecom, diversified",Turkey
401,Eric Lefkofsky,2.9,42,Groupon,United States
401,Brijmohan Lall Munjal,2.9,88,motorcycles,India
401,Cyrus Poonawalla,2.9,70,biotech,India
401,Haim Saban,2.9,67,television,United States
401,Onsi Sawiris,2.9,82,"construction, telecom",Egypt
401,Antonio Luiz Seabra,2.9,69,cosmetics,Brazil
401,Jeffrey Skoll,2.9,47,Ebay,United States
401,Donald Trump,2.9,65,"television, real estate",United States
401,Klaus Tschira,2.9,71,SAP,Germany
401,Chip Wilson,2.9,55,Lululemon,Canada
418,Riley Bechtel,2.8,60,"engineering, construction",United States
418,"Stephen Bechtel, Jr.",2.8,86,"engineering, construction",United States
418,Henadiy Boholyubov,2.8,50,"banking, investments",Ukraine
418,Patokh Chodiev,2.8,59,"mining, metals",Belgium
418,Chung Eui-Sun,2.8,41,Hyundai,South Korea
418,"William Conway, Jr.",2.8,62,leveraged buyouts,United States
418,"Daniel D'Aniello",2.8,65,leveraged buyouts,United States
418,William Ding,2.8,40,internet,China
418,Gustaf Douglas,2.8,74,security,Sweden
418,Bernard Ecclestone & family,2.8,81,Formula One,United Kingdom
418,Frits Goldschmeding,2.8,78,temp agency,Netherlands
418,Diane Hendricks,2.8,65,roofing,United States
418,Alijan Ibragimov,2.8,58,"mining, metals",Kazakhstan
418,Martha Ingram & family,2.8,76,"book distribution, transportation",United States
418,Rodney Lewis,2.8,58,natural gas,United States
418,Lin Rong San,2.8,72,real estate,Taiwan
418,Alexander Machkevich,2.8,58,"mining, metals",Israel
418,Daniel Mate,2.8,48,Glencore International,Spain
418,Aristotelis Mistakidis,2.8,50,Glencore International,Greece
418,David Rubenstein,2.8,62,leveraged buyouts,United States
418,David Sun,2.8,60,information technology,United States
418,Sukanto Tanoto,2.8,62,Diversified,Indonesia
418,John Tu,2.8,71,information technology,United States
418,Murat Ulker,2.8,52,food manufacturing,Turkey
442,Chen Fashu,2.7,51,diversified,China
442,Malcolm Glazer & family,2.7,83,"sports teams, real estate",United States
442,Tamara Gustavson,2.7,50,self storage,United States
442,Stein Erik Hagen & family,2.7,55,retail,Norway
442,Timothy Headington,2.7,61,"oil & gas, investments",United States
442,Hui Wing Mau,2.7,61,real estate,Hong Kong
442,Jan Kulczyk,2.7,62,"telecom, oil, beer",Poland
442,James Leprino,2.7,74,cheese,United States
442,Fredrik Lundberg,2.7,60,"real estate, investments",Sweden
442,Jack Ma,2.7,47,internet,China
442,Fernando Roberto Moreira Salles,2.7,65,banking,Brazil
442,Joao Moreira Salles,2.7,50,banking,Brazil
442,Pedro Moreira Salles,2.7,52,banking,Brazil
442,Walther Moreira Salles,2.7,55,banking,Brazil
442,Patrice Motsepe,2.7,50,mining,South Africa
442,David Murdock,2.7,88,"Dole, real estate",United States
442,Rubens Ometto Silveira Mello,2.7,62,"sugar, ethanol",Brazil
442,Stephan Schmidheiny,2.7,64,investments,Switzerland
442,Warren Stephens,2.7,55,investment banking,United States
442,Sun Guangxin,2.7,49,diversified,China
442,Oprah Winfrey,2.7,58,Television,United States
442,Zhang Xin & family,2.7,46,real estate,China
464,Semahat Sevim Arsel,2.6,83,Diversified,Turkey
464,John Caudwell,2.6,59,mobile phones,United Kingdom
464,Chen Din Hwa,2.6,89,real estate,Hong Kong
464,Charles Dolan & family,2.6,85,cable television,United States
464,Ray Dolby,2.6,79,Dolby Laboratories,United States
464,Archie Aldis Emmerson,2.6,82,"timberland, lumber mills",United States
464,Guenther Fielmann,2.6,72,optometry,Germany
464,Laurence Graff,2.6,73,diamond jewelry,United Kingdom
464,Robert Holding,2.6,85,"oil, resorts",United States
464,Huang Rulun,2.6,60,real estate,China
464,Manuel Jove,2.6,70,real estate,Spain
464,Guy Laliberte,2.6,52,Cirque du Soleil,Canada
464,Spiro Latsis & family,2.6,65,"banking, shipping",Greece
464,Friedhelm Loh,2.6,65,manufacturing,Germany
464,Lu Guanqiu,2.6,67,diversified,China
464,Kalanithi Maran,2.6,46,media,India
464,Masahiro Miki,2.6,56,retail,Japan
464,Daniel Och,2.6,51,hedge funds,United States
464,Igor Olenicoff,2.6,69,real estate,United States
464,Stefano Pessina,2.6,70,pharmaceuticals,Italy
464,Anthony Pritzker,2.6,51,"hotels, investments",United States
464,Jay Robert (J.B.) Pritzker,2.6,47,"hotels, investments",United States
464,Ferit Faik Sahenk,2.6,48,"banking, media",Turkey
464,Peter Sondakh,2.6,60,Investments,Indonesia
464,Joan Tisch,2.6,86,diversified,United States
464,Yeoh Tiong Lay & family,2.6,82,diversified,Malaysia
464,Zhang Zhirong,2.6,43,Shipbuilding,Hong Kong
491,Michael Ashley,2.5,52,sports retailing,United Kingdom
491,Peter Buck,2.5,81,Subway Restaurants,United States
491,Chung Mong-Joon,2.5,60,heavy industry,South Korea
491,Fred DeLuca,2.5,64,Subway Restaurants,United States
491,Stanley Druckenmiller,2.5,58,hedge funds,United States
491,Barbara Carlson Gage,2.5,69,"hotels, restaurants",United States
491,Bahaa Hariri,2.5,45,"real estate, investments, logistics",Lebanon
491,Gunter Herz,2.5,71,coffee,Germany
491,Masatoshi Ito,2.5,87,retail,Japan
491,H. Fisk Johnson,2.5,53,SC Johnson & Sons,United States
491,Imogene Powers Johnson,2.5,82,SC Johnson & Sons,United States
491,S. Curtis Johnson,2.5,56,SC Johnson & Sons,United States
491,Helen Johnson-Leipold,2.5,55,SC Johnson,United States
491,Winnie Johnson-Marquart,2.5,52,SC Johnson & Sons,United States
491,Shahid Khan,2.5,62,auto parts,United States
491,Mustafa Rahmi Koc,2.5,81,diversified,Turkey
491,Robert Miller,2.5,66,retail,Canada
491,Marilyn Carlson Nelson,2.5,72,"hotels, restaurants",United States
491,Philip Niarchos,2.5,58,art collection,Greece
491,Axel Oberwelland,2.5,45,candy,Germany
491,"Julian Robertson, Jr.",2.5,80,hedge funds,United States
